BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
3/4/17,SP100  ,3270,ARYA PEANUT CHIKKI 100G  ,1.00,48.00,48.00
3/4/17,SP100  ,2754,Arya Roasted Flaxseeds  ,1.00,75.00,75.00
3/4/17,SP100  ,3900,G10 JAGGERY LUMPS  ,1.00,70.00,70.00
3/4/17,SP100  ,2155,NRS AMLA BAR 1  ,1.00,70.00,70.00
3/4/17,SP100  ,2154,NRS APRICOT BAR 1  ,2.00,70.00,140.00
3/4/17,SP100  ,1253,NRS Seeds & Nuts Muesli  ,1.00,350.00,350.00
3/4/17,SP100  ,2492,OT MIX DAL 500G  ,1.00,130.00,130.00
3/4/17,SP100  ,3583,OW REAL GINGER CHAI 25  ,1.00,149.00,149.00
3/4/17,SP100  ,2682,PPS COCONUT SUGAR  ,1.00,360.00,360.00
3/4/17,SP100  ,2568,PPS ORG CHAKLI  ,1.00,70.00,70.00
3/4/17,SP100  ,2570,PPS ORG NIPPAT  ,1.00,70.00,70.00
3/4/17,SP100  ,3650,SO PACHRANGI DAL 500G  ,2.00,155.00,310.00
3/4/17,SP100  ,3051,TG Fenugreek  ,2.00,25.00,50.00
3/4/17,SP100  ,3053,TG Honey Forest  ,1.00,165.00,165.00
3/4/17,SP100  ,3065,TG Honey Herbal  ,1.00,165.00,165.00
3/4/17,SP100  ,3096,TG Rock Salt  ,1.00,65.00,65.00
3/4/17,SP100  ,2479,VIT JAMUN JUICE  ,1.00,245.00,245.00
3/4/17,CC101  ,3866,G10 MOONG DAL 1KG  ,2.00,210.00,420.00
3/4/17,CC101  ,3811,OP GHEE 500ML  ,1.00,550.00,550.00
3/4/17,CC101  ,3805,OP MILK 1LTR  ,1.00,80.00,80.00
3/4/17,CC101  ,3103,TG SM Rice 5Kg  ,1.00,419.00,419.00
3/4/17,CA102  ,3568,OT RED RICE  ,7.00,92.00,644.00
3/4/17,CC103  ,3154,LF ALOEVERA GEL  ,1.00,225.00,180.00
3/4/17,CC103  ,2108,SS BRINJAL GREEN LONG  ,0.43,80.00,27.52
3/4/17,CC103  ,2086,SS DRUMSTIC LEAVES  ,2.00,25.00,40.00
3/4/17,CC103  ,2131,SS PAPAYA  ,0.89,65.00,46.03
3/4/17,CC103  ,2167,SS POMOGRANATE  ,0.34,200.00,53.60
3/4/17,CC103  ,2024,Thai BOP Black Tea  ,1.00,102.00,81.60
